PARTIDO;NIVEL ;DEPARTAMENTO;HOJA;CANDIDATO;MEDIO;DESCRIPCIÓN DEL GASTO;MONTO
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - Radio Nacional;21521
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ORAL;Publicidad en radio - Galaxia FM;35280
Nacional;Senado;;;Sergio Abreu;ORAL;RADIOS ;116387,6
Nacional;Diputados;Montevideo;2014;Verónica Alonso;ORAL;Publicidad Oral;180000
Nacional;Diputados;Montevideo;40;Javier García;ORAL;RADIO;1008544,52
Nacional;Diputados;Montevideo;404;Alvaro Delgado;ORAL;Publicidad Oral;553270
Nacional;Diputados;Montevideo;767;Alfredo Oliú;ORAL;RADIO;36400
Nacional;Diputados;Montevideo;33;Francisco Gallinal;ORAL;Publicidad en radio;59048
Nacional;Diputados;Montevideo;33;Francisco Gallinal;ORAL;Publicidad en radio;32208
Nacional;Diputados;Montevideo;33;Francisco Gallinal;ORAL;Publicidad en radio;26352
Nacional;Diputados;Montevideo;33;Francisco Gallinal;ORAL;Publicidad en radio;48312
Nacional;Diputados;Montevideo;33;Francisco Gallinal;ORAL;Publicidad en radio;700
Nacional;Diputados;Montevideo;33;Francisco Gallinal;ORAL;Publicidad en radio;53680
Nacional;Diputados;Canelones;400;Amín Niffouri;ORAL;Publicidad Oral;117900
Nacional;Diputados;Canelones;3504;Alem García;ORAL;Monte Carlo S.A. (radio);21500
Frente Amplio;Senado;;;José Mujica;ORAL;Radios;1669742
Frente Amplio;Senado;;;Daniel Martinez;ORAL;Publicidad en radio;65270
Frente Amplio;Senado;;;Alvaro Portillo;ORAL;publicidad por radio carve;18800
Frente Amplio;Senado;;;Danilo Astori;ORAL;Publicidad en radio;1839146
Frente Amplio;Senado;;;Nora Castro;ORAL;Publicidad en radio;5856
Frente Amplio;Senado;;;Constanza Moreira- Beramendi;ORAL;Publicidad oral (radio);293798
Frente Amplio;Senado;;;Eduardo Brenta;ORAL;Servicio contratado via Media-Office;900000
Frente Amplio;Senado;;;Eleuterio Fernandez Huidobro;ORAL;Publicidad oral;734624
Frente Amplio;Diputados;Montevideo;609;Alejandro Sánchez;ORAL;Radios;1646790
Frente Amplio;Diputados;Montevideo;90;Gonzalo Civila;ORAL;Radios;1207152,12
Frente Amplio;Diputados;Montevideo;2121;Carlos Varela;ORAL;Publicidad en radios;1564859
Frente Amplio;Diputados;Montevideo;329;Macarena Gelman;ORAL;Continental;143191
Frente Amplio;Diputados;Montevideo;329;Macarena Gelman;ORAL;sarandi;28880
Frente Amplio;Diputados;Montevideo;3311;Luis Puig;ORAL;retorno publicidad;48068
Frente Amplio;Diputados;Montevideo;6009;Victor Semproni;ORAL;Radios Mdeo/Int ;77642
Frente Amplio;Diputados;Montevideo;775005;José Bayardi;ORAL;Pauta radia AM/FM Montevideo;327000
Frente Amplio;Diputados;Montevideo;1642;Christian Di Candia;ORAL;Publicidad Oral;67637
Frente Amplio;Diputados;Montevideo;764;Pablo Alvarez;ORAL;Publicidad en radio;5856
Frente Amplio;Diputados;Montevideo;642;José Pablo Oliveras;ORAL;Publicidad oral;10000
Frente Amplio;Diputados;Montevideo;906;Enrique Saravia;ORAL;Radio cx30;75000
Frente Amplio;Diputados;Canelones;90;Raúl Olivera;ORAL;Radios;427954
Frente Amplio;Diputados;Canelones;99738;Horacio Yanes;ORAL;Publicidad en Radio;67347
Frente Amplio;Diputados;Canelones;609;Sebastián Sabini;ORAL;Radios;1320573
Frente Amplio;Diputados;Canelones;1813;José Luis Devitta;ORAL;EFECTIVO;7424
Frente Amplio;Diputados;Canelones;775005;Leonardo Herou;ORAL;Radio;6500
Frente Amplio;Diputados;Canelones;3311;Valeria Rubino;ORAL;CX 30;48000
Frente Amplio;Diputados;Canelones;3311;Valeria Rubino;ORAL;Atlantida FM;3090
Frente Amplio;Diputados;Canelones;3311;Valeria Rubino;ORAL;Inolvidable FM;3494
Frente Amplio;Diputados;Canelones;3311;Valeria Rubino;ORAL;Minuto 90 Fm 90,1;3000
Frente Amplio;Diputados;Canelones;3311;Valeria Rubino;ORAL;Atlantida FM;8000
Frente Amplio;Diputados;Canelones;3311;Valeria Rubino;ORAL;Inolvidable FM;3400
Frente Amplio;Diputados;Canelones;890;Gerardo Gadea;ORAL;RADIO NATURALEZA TALA;9000
Frente Amplio;Diputados;Canelones;890;Gerardo Gadea;ORAL;FM La Ley;60840
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;28/08/2014 - 1410 AM LIBRE;140300
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;04/09/2014 - EL ESPECTADOR;448960
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;12/09/2014 - OCEANO FM;1256600
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;18/09/2014 - 104.9 METROPOLIS;350140
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;18/09/2014 - OLDIES 90.3 FM;224480
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;19/09/2014 - RADIO UNIVERSAL;117120
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;19/09/2014 - 95.5 FM DEL PLATA;561200
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;26/09/2014 - 101.9 AZUL FM;954040
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;29/09/2014 - 91.1 fm futura - recibo 0186;329400
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;03/10/2014 - SARANDI COMUNICACIONES;652700
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;07/10/2014 - ESPECTADOR.COM;140300
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;14/10/2014 - R. ORIENTAL;30500
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;15/10/2014 - RADIO ARAX;12200
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;16/10/2014 - CX 30 - RADIO NACIONAL;140300
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;23/10/2014 - M24 FM;168360
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;23/10/2014 - LATINA 103.7 FM;350750
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;24/10/2014 - COOP. DESAFIO;30000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;24/10/2014 - SARANDI COMUNICACIONES;652700
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;27/10/2014 - 104.3 FM;322690
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;28/10/2014 - CORI;14640
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;29/10/2014 - OLDIES 90.3FM;224480
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;29/10/2014 - M24 FM;168360
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;29/10/2014 - 104.9 METROPOLIS FM;351360
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;07/11/2014 - MONTE CARLO SA;1220000
