 PARTIDO ; DEPARTAMENTO ; NIVEL ; HOJA ; CANDIDATO_1 ; INGRESOS_TOT ; INGRESOS_NET ; FIN_PUB ; FIN_INT ; CES_FON ; FIN_PRIV ; VOTOS ; BANCAS ; PERSONAS ; EMPRESAS ; ANONIMA ; CANDIDATOS ; OTROS ; EGRESOS_TOT ; EGRESOS_NET ;;
 FRENTE AMPLIO ; DURAZNO ; REPRESENTANTES ; 1.971 ; RAUL MARIO LICANDRO CHIESA ; 164.194 ; 117.084 ; 114.194 ; -   ; 47.110 ; 50.000 ; 1.119 ; -   ; -   ; -   ; -   ; 50.000 ; -   ; 162.898 ; 115.788 ;;
 FRENTE AMPLIO ; DURAZNO ; REPRESENTANTES ; 7.373 ; JUAN CARLOS GÓMEZ BOTTERO ; 14.419 ; -   ; 14.419 ; -   ; 14.419 ; -   ; 139 ; -   ; -   ; -   ; -   ; -   ; -   ; 14.419 ; -   ;;
 FRENTE AMPLIO ; DURAZNO ; REPRESENTANTES ; 9.393 ; EDUARDO MÉNDEZ CAMARÁN ; 17.000 ; -   ; 17.000 ; -   ; 17.000 ; -   ; 172 ; -   ; -   ; -   ; -   ; -   ; -   ; 17.000 ; -   ;;
 FRENTE AMPLIO ; DURAZNO ; REPRESENTANTES ; 212.190 ; MARIA ARGUELLO ; 1.408.317 ; 435.704 ; 972.612 ; 435.705 ; 972.613 ; -   ; 3.812 ; -   ; -   ; -   ; -   ; -   ; -   ; 898.446 ; 441.318 ;;
 FRENTE AMPLIO ; DURAZNO ; REPRESENTANTES ; 6.091.001 ; MARTIN TIERNO ; 1.176.143 ; 1.176.143 ; 1.176.143 ; -   ; -   ; -   ; 8.407 ; 1 ; -   ; -   ; -   ; -   ; -   ; 1.176.143 ; 1.176.143 ;;
 FRENTE AMPLIO ; FLORES ; REPRESENTANTES ; 1.642 ; LUCIANA OHOLEGUY ; 15.614 ; 15.614 ; 15.614 ; -   ; -   ; -   ; 153 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;
 FRENTE AMPLIO ; FLORES ; REPRESENTANTES ; 1.968 ; PABLO DANIEL CABRERA STELLATELLI ; 15.574 ; 3.677 ; 15.574 ; -   ; 11.897 ; -   ; 56 ; -   ; -   ; -   ; -   ; -   ; -   ; 16.911 ; 5.014 ;;
 FRENTE AMPLIO ; FLORES ; REPRESENTANTES ; 3.311 ; RUBEN MONTAÑO ; 30.000 ; 24.864 ; 12.450 ; 37.000 ; 5.136 ; -   ; 122 ; -   ; -   ; -   ; -   ; -   ; -   ; 37.338 ; 32.202 ;;
 FRENTE AMPLIO ; FLORES ; REPRESENTANTES ; 7.373 ; RAQUEL SUSANA UMPIÉRREZ LEZUE ; 38.151 ; -   ; 38.151 ; -   ; 38.151 ; -   ; 367 ; -   ; -   ; -   ; -   ; -   ; -   ; 38.151 ; -   ;;
 FRENTE AMPLIO ; FLORES ; REPRESENTANTES ; 90.810 ; JUAN FEDERICO RUIZ ; 1.408.317 ; 855.673 ; 552.644 ; 484.956 ; 552.644 ; -   ; 2.166 ; 1 ; -   ; -   ; -   ; -   ; -   ; 462.361 ; 202.618 ;;
 FRENTE AMPLIO ; FLORES ; REPRESENTANTES ; 775.005 ; CARLOS ROMERO ; 70.230 ; 70.230 ; 69.230 ; -   ; -   ; -   ; 666 ; -   ; -   ; -   ; -   ; -   ; -   ; 76.320 ; 76.320 ;;
 FRENTE AMPLIO ; FLORES ; REPRESENTANTES ; 609.772.121 ; GUZMAN PEDREIRA ; 551.244 ; 551.244 ; 551.244 ; -   ; -   ; -   ; 1.733 ; -   ; -   ; -   ; -   ; -   ; -   ; 551.244 ; 551.244 ;;
 FRENTE AMPLIO ; FLORES ; REPRESENTANTES ; 7.111.071.001 ; ATANASILDO MODERNELL ; 20.000 ; 20.000 ;                          -   ; 20.000 ; -   ; -   ; 1.514 ; -   ; -   ; -   ; -   ; -   ; -   ; 20.000 ; 20.000 ;;
 FRENTE AMPLIO ; FLORIDA ; REPRESENTANTES ; 800 ; EDGARDO FERREIRA ; 81.923 ; 33.500 ; 48.423 ; -   ; 48.423 ; 18.900 ; 468 ; -   ; -   ; -   ; -   ; 18.900 ; -   ; 81.895 ; 33.472 ;;
 FRENTE AMPLIO ; FLORIDA ; REPRESENTANTES ; 871 ; RAUL CAMPANELLA ; 13.370 ; -   ; 13.370 ; -   ; 13.370 ; -   ; 131 ; -   ; -   ; -   ; -   ; -   ; -   ; 13.370 ; -   ;;
 FRENTE AMPLIO ; FLORIDA ; REPRESENTANTES ; 1.968 ; PABLO DANIEL CABRERA STELLATELLI ; 19.181 ; 7.284 ; 19.181 ; -   ; 11.897 ; -   ; 97 ; -   ; -   ; -   ; -   ; -   ; -   ; 16.911 ; 5.014 ;;
 FRENTE AMPLIO ; FLORIDA ; REPRESENTANTES ; 3.311 ; ARIEL PISANO SANCHEZ ; 37.000 ; 37.000 ; 37.000 ; -   ; -   ; -   ; 1.336 ; -   ; -   ; -   ; -   ; -   ; -   ; 32.225 ; 32.225 ;;
 FRENTE AMPLIO ; FLORIDA ; REPRESENTANTES ; 7.373 ; MARIA JACQUELINE DÁRDANO ROSSINI ; 63.321 ; -   ; 63.321 ; -   ; 63.321 ; -   ; 612 ; -   ; -   ; -   ; -   ; -   ; -   ; 63.321 ; -   ;;
 FRENTE AMPLIO ; FLORIDA ; REPRESENTANTES ; 9.393 ; EDUARDO MENDEZ CAMARAN ; 10.200 ; -   ; 10.200 ; -   ; 10.200 ; -   ; 150 ; -   ; -   ; -   ; -   ; -   ; -   ; 10.200 ; -   ;;
