PARTIDO;DEPARTAMENTO;NIVEL;HOJA;CANDIDATO_1;INGRESOS_TOT;INGRESOS_NET;FIN_PUB;FIN_INT;CES_FON;FIN_PRIV;VOTOS;BANCAS;PERSONAS;EMPRESAS;ANONIMA;CANDIDATOS;OTROS;EGRESOS_TOT;EGRESOS_NET
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;9393;ALBERTO GARATEGUY;82000;0;82000;0;82000;0;821;0;0;0;0;0;0;82000;0
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;99738;FERNANDO LORENZO;7273600;4518713;2098000;0;2754887;5175600;20562;1;3027600;1728000;0;420000;0;12325863;9570976
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;181563;ALEJANDRO OSTRIA;177810;0;177810;0;177810;0;1723;0;0;0;0;0;0;177810;0
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;775005;JOSÉ BAYARDI;1290500;1290500;1289500;0;0;0;12496;0;0;0;0;0;0;1424000;1424000
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;1813800;JOSÉ ANTONIO MALDONADO;615751;615751;133576;460000;0;22175;2264;0;400;0;0;21775;0;576872,64;576872,64
FRENTE AMPLIO;PAYSANDÚ;REPRESENTANTES;90;JULIO MIGUEL PINTOS;1955063;769595;1157592;780599;1185467;16871;4537;0;0;0;16871;0;0;1547610,843;1003542,41
FRENTE AMPLIO;PAYSANDÚ;REPRESENTANTES;609;CECILIA BOTTINO;2035122;2035122;1985122;0;0;0;15786;1;0;0;0;0;0;2035122;2035122
FRENTE AMPLIO;PAYSANDÚ;REPRESENTANTES;800;ANDRÉS ANDRADA;86357;86357;59857;0;0;16500;580;0;0;0;0;16500;0;86172;86172
FRENTE AMPLIO;PAYSANDÚ;REPRESENTANTES;871;MARCELO FAGUNDEZ;37353;0;37353;0;37353;0;366;0;0;0;0;0;0;37353;0
FRENTE AMPLIO;PAYSANDÚ;REPRESENTANTES;921;MARIO SAN JUAN;144632;144632;28632;30000;0;0;478;0;0;0;0;0;0;54100;54100
FRENTE AMPLIO;PAYSANDÚ;REPRESENTANTES;1642;IGNACIO ERBAGGI;27758;27758;27758;0;0;0;272;0;0;0;0;0;0;0;0
FRENTE AMPLIO;PAYSANDÚ;REPRESENTANTES;1813;JUAN RAMON BENITEZ;90150;90150;                         -  ;90150;0;0;439;0;0;0;0;0;0;0;0
FRENTE AMPLIO;PAYSANDÚ;REPRESENTANTES;1968;PABLO DANIEL CABRERA STELLATELLI;23691;8819;23691;0;14871;0;118;0;0;0;0;0;0;21138,37171;6267,111858
